french_text,frequency,english_translation,context
historiques,3,,
raviver,3,,
empêcher,3,,
montée,3,,
angle,3,,
nuages,3,,
sol,3,,
tonnerre,3,,
puissance,3,,
passion,3,,
intense,3,,
inclure,3,,
fulgurant,3,,
dark,3,,
astuce,3,,
give,3,,
full,3,,
poisson,3,,
profonde,3,,
compétences,3,,
difficile,3,,
voulais,3,,
prator,3,,
vis,3,,
floride,3,,
mariage,3,,
exponentielle,3,,
linéaire,3,,
université,3,,
probablement,3,,
illustre,3,,
naturellement,3,,
essayez,3,,
théâtre,3,,
appris,3,,
répondu,3,,
roi,3,,
anglaise,3,,
after,3,,
they,3,,
not,3,,
take,3,,
décision,3,,
époque,3,,
you,3,,
combinant,3,,
critiques,3,,
provoquer,3,,
fuite,3,,
follow,3,,
sûr,3,,
inutiles,3,,
médicales,3,,
manifestations,3,,
efficace,3,,
écriture,3,,
manuscrite,3,,
préférerais,3,,
espérer,3,,
riches,3,,
heureux,3,,
hommes,3,,
seule,3,,
rangée,3,,
importe,3,,
mère,3,,
extérieur,3,,
pauvres,3,,
belles,3,,
stupide,3,,
dépenser,3,,
puissent,3,,
élever,3,,
promener,3,,
devrions,3,,
obligatoire,3,,
quickly,3,,
motivation,3,,
rappelle,3,,
construire,3,,
applications,3,,
instrument,3,,
marre,3,,
sick,3,,
mesure,3,,
fluide,3,,
progression,3,,
traditionnelle,3,,
antoine,3,,
fâcher,3,,
upset,3,,
désaccord,3,,
warm,3,,
pièce,3,,
cheminée,3,,
illustration,3,,
tranquille,3,,
domestique,3,,
stay,3,,
type,3,,
lumières,3,,
mari,3,,
jouer,3,,
vraiment,3,,
éloge,3,,
célébrer,3,,
commune,3,,
locare,3,,
loue,3,,
temporairement,3,,
honneur,3,,
assigner,3,,
piédestal,3,,
montrer,3,,
louez,3,,
laud,3,,
élevée,3,,
imaginez,3,,
end,3,,
chauffeur,3,,
amusante,3,,
projets,3,,
poids,3,,
littéral,3,,
figuratif,3,,
look,3,,
déconseiller,3,,
résultat,3,,
domaine,3,,
éclairé,3,,
couramment,3,,
transformé,3,,
hors,3,,
lever,3,,
toast,3,,
incroyable,3,,
verres,3,,
mélange,3,,
tradition,3,,
laisse,3,,
sites,3,,
habituellement,3,,
apprend,3,,
suivant,3,,
susceptible,3,,
précises,3,,
générer,3,,
ajoutant,3,,
réponses,3,,
haute,3,,
conversations,3,,
faciles,3,,
conversation,3,,
niveaux,3,,
dessous,3,,
sparse,3,,
arrays,3,,
contiennent,3,,
endroits,3,,
mur,3,,
motifs,3,,
version,3,,
balle,3,,
lavage,3,,
épais,3,,
crustacé,3,,
plats,3,,
luxe,3,,
racines,3,,
similaires,3,,
rain,3,,
irais,3,,
incertitude,3,,
puisse,3,,
nage,3,,
rage,3,,
bateau,3,,
exception,3,,
aille,3,,
dimanche,3,,
murmure,3,,
habituelle,3,,
faisais,3,,
gâteau,3,,
souhait,3,,
fasses,3,,
oral,3,,
fasse,3,,
réalisée,3,,
aimerais,3,,
étions,3,,
étiez,3,,
fut,3,,
fûmes,3,,
fûtes,3,,
furent,3,,
seras,3,,
serons,3,,
serez,3,,
seriez,3,,
seraient,3,,
pourrais,3,,
pourraient,3,,
veuille,3,,
sache,3,,
vit,3,,
viendra,3,,
viendrait,3,,
vienne,3,,
connus,3,,
reçoit,3,,
fantaisie,3,,
déçu,3,,
déception,3,,
italie,3,,
guillaume,3,,
loi,3,,
devenu,3,,
châteaux,3,,
toilettes,3,,
publiques,3,,
ouvert,3,,
commander,3,,
fromage,3,,
bisous,3,,
chocolatine,3,,
guides,3,,
chats,3,,
domestiques,3,,
fascinants,3,,
célèbres,3,,
berceau,3,,
objets,3,,
visites,3,,
fruits,3,,
mer,3,,
architecture,3,,
forgé,3,,
nationaux,3,,
bas,3,,
canyon,3,,
kilomètres,3,,
forêts,3,,
montagnes,3,,
variés,3,,
courses,3,,
radio,3,,
immobilier,3,,
visage,3,,
hobbies,3,,
prénom,3,,
chanter,3,,
prochain,3,,
still,3,,
pincettes,3,,
considérer,3,,
pis,3,,
there,3,,
classifier,3,,
précise,3,,
contextuel,3,,
fréquemment,3,,
parle,3,,
attend,3,,
métro,3,,
correcte,3,,
sœur,3,,
guitare,3,,
fauve,3,,
couleur,3,,
ongle,3,,
dès,3,,
cito,3,,
cognate,3,,
for,3,,
cite,3,,
comes,3,,
from,3,,
which,3,,
hocher,3,,
renseigner,3,,
fournir,3,,
fermée,3,,
flots,3,,
hours,3,,
légumes,3,,
montagne,3,,
bras,3,,
prononce,3,,
écrites,3,,
intonation,3,,
mélodie,3,,
presse,3,,
proposent,3,,
échouer,3,,
bouger,3,,
cérémonial,3,,
vêtement,3,,
déplacement,3,,
also,3,,
littérale,3,,
storms,3,,
tempête,3,,
storm,3,,
éclairs,3,,
fille,3,,
explorer,3,,
roses,3,,
conjonction,3,,
maintenu,3,,
essai,3,,
maîtrise,3,,
septembre,3,,
virelangues,3,,
tonton,3,,
lèvres,3,,
concentrant,3,,
audio,3,,
stone,3,,
bons,3,,
stromæ,3,,
doux,3,,
nasales,3,,
brillent,3,,
réveille,3,,
miami,3,,
rencontrer,3,,
ateliers,3,,
sacrément,3,,
douzaine,2,,
enrichir,2,,
évite,2,,
totale,2,,
fausses,2,,
incitant,2,,
haine,2,,
préserver,2,,
suffisent,2,,
extrêmes,2,,
protège,2,,
dénoncer,2,,
essentielles,2,,
perçu,2,,
blesser,2,,
restrictions,2,,
extrémistes,2,,
sensibilités,2,,
entendre,2,,
dangereux,2,,
vulnérables,2,,
engendre,2,,
conciliation,2,,
baisse,2,,
connectent,2,,
émergence,2,,
militantisme,2,,
contribuer,2,,
renforce,2,,
tisser,2,,
solidarité,2,,
compter,2,,
bénévoles,2,,
décharger,2,,
responsabilités,2,,
structurantes,2,,
remise,2,,
établi,2,,
nuisent,2,,
digital,2,,
detox,2,,
authentiques,2,,
hyperconnecté,2,,
retard,2,,
